video_id,channel_name,title,published_at,view_count,like_count,comment_count
NNgAXFeQu6Q,KanalZero,KANAŁ NIE WIEM ALE SIĘ DOWIEM ZOSTAŁ PRZEJĘTY?,2026-05-16T13:45:05Z,50931,335,87
J9UzMxnSXoE,KanalZero,ROBERT LEWANDOWSKI ODCHODZI Z BARCELONY,2026-05-16T13:24:36Z,114248,774,41
cIZ7n7jJ9J4,KanalZero,POLKA BOHATERKĄ EUROWIZJI,2026-05-16T13:01:10Z,507308,5920,479
FpwoLvqHGDs,KanalZero,BEZI ODPOWIADA NA ZARZUTY O PRZEJĘCIE KANAŁU,2026-05-16T12:30:19Z,30612,445,35
yqRSBbs9qeY,KanalZero,CZARY I PSEUDOMEDYCYNA. PRAWO BĘDZIE ŚCIGAĆ SZARLATANÓW,2026-05-16T12:01:29Z,18536,857,348
B7jy_5PsHyw,KanalZero,"PROTESTUJE, CHYBA ŻE JEJ PŁACĄ",2026-05-16T11:00:13Z,93671,1662,67
B4XbA6Peyis,KanalZero,"USA POMOGĄ NA KUBIE? PUTIN W CHINACH, ZMIANY W SŁUŻBACH MIGRACYJNYCH",2026-05-16T10:30:04Z,25633,555,11
jHam9Zn6nvs,KanalZero,"WIELKA KRADZIEŻ KANAŁU CZY KŁAMSTWO? (NWASD, BEZI, GONCIARZ, KSIĄŻULO) DLA ZASIĘGU #14",2026-05-16T10:01:00Z,335792,8158,1221
21f5C-z6Kao,KanalZero,UKRAIŃSKI POLITYK Z DUŻYMI ZARZUTAMI,2026-05-16T09:30:35Z,16655,279,22
v_5bnaHXm3A,KanalZero,ELIZA MICHALIK WYJAŚNIA ELIZĘ MICHALIK,2026-05-16T09:01:14Z,189043,4586,236
ZIgmgWaP4E0,KanalZero,TRUMP NIE CHCE WOJNY Z CHINAMI?,2026-05-16T08:30:13Z,37188,307,20
K5A6ypZUo1Q,KanalZero,HIPOKRYZJA MAI OSTASZEWSKIEJ,2026-05-16T08:00:15Z,22554,353,35
XpKMxWCSveU,KanalZero,POLICJA W TV REPUBLIKA. SPRAWA STAŁA SIĘ POLITYCZNA,2026-05-16T07:30:24Z,129936,2406,189
VxHycMZIsLs,KanalZero,"UŚMIECHNIĘTA GRENDA, HIPOKRYZJA OSTASZEWSKIEJ, KELNERKA WIELICHOWSKIEJ, DWIE TWARZE ELIZY MICHALIK",2026-05-16T07:00:33Z,557246,24955,1896
MGcIL8PVdqw,KanalZero,TRUMP W CHINACH. XI CZEKA NA PUTINA | ŚWIAT OD ZERA #108,2026-05-15T20:10:56Z,45093,1140,47
02whshKdMuo,KanalZero,"MAZUREK: NALOT NA SAKIEWICZA, POLICJA, SŁUŻBY, PROWOKACJA",2026-05-15T19:35:06Z,413619,25260,4579
aijwf3EHYlk,KanalZero,POLICJA W TELEWIZJI REPUBLIKA,2026-05-15T18:19:50Z,239404,9677,827
