video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,category_id
J9UzMxnSXoE,KanalZero,ROBERT LEWANDOWSKI ODCHODZI Z BARCELONY,2026-05-16T13:24:36Z,114716,774,41,PT30S,22
cIZ7n7jJ9J4,KanalZero,POLKA BOHATERKĄ EUROWIZJI,2026-05-16T13:01:10Z,517840,5999,484,PT52S,22
FpwoLvqHGDs,KanalZero,BEZI ODPOWIADA NA ZARZUTY O PRZEJĘCIE KANAŁU,2026-05-16T12:30:19Z,31017,447,35,PT2M59S,22
yqRSBbs9qeY,KanalZero,CZARY I PSEUDOMEDYCYNA. PRAWO BĘDZIE ŚCIGAĆ SZARLATANÓW,2026-05-16T12:01:29Z,18816,867,349,PT15M33S,22
B7jy_5PsHyw,KanalZero,"PROTESTUJE, CHYBA ŻE JEJ PŁACĄ",2026-05-16T11:00:13Z,96047,1684,68,PT1M25S,22
B4XbA6Peyis,KanalZero,"USA POMOGĄ NA KUBIE? PUTIN W CHINACH, ZMIANY W SŁUŻBACH MIGRACYJNYCH",2026-05-16T10:30:04Z,26042,574,12,PT1M44S,22
jHam9Zn6nvs,KanalZero,"WIELKA KRADZIEŻ KANAŁU CZY KŁAMSTWO? (NWASD, BEZI, GONCIARZ, KSIĄŻULO) DLA ZASIĘGU #14",2026-05-16T10:01:00Z,342091,8288,1232,PT23M36S,22
21f5C-z6Kao,KanalZero,UKRAIŃSKI POLITYK Z DUŻYMI ZARZUTAMI,2026-05-16T09:30:35Z,16692,279,22,PT1M19S,22
v_5bnaHXm3A,KanalZero,ELIZA MICHALIK WYJAŚNIA ELIZĘ MICHALIK,2026-05-16T09:01:14Z,191197,4624,240,PT48S,22
ZIgmgWaP4E0,KanalZero,TRUMP NIE CHCE WOJNY Z CHINAMI?,2026-05-16T08:30:13Z,37294,307,21,PT25S,22
K5A6ypZUo1Q,KanalZero,HIPOKRYZJA MAI OSTASZEWSKIEJ,2026-05-16T08:00:15Z,23043,357,35,PT50S,22
XpKMxWCSveU,KanalZero,POLICJA W TV REPUBLIKA. SPRAWA STAŁA SIĘ POLITYCZNA,2026-05-16T07:30:24Z,130841,2419,190,PT1M25S,22
VxHycMZIsLs,KanalZero,"UŚMIECHNIĘTA GRENDA, HIPOKRYZJA OSTASZEWSKIEJ, KELNERKA WIELICHOWSKIEJ, DWIE TWARZE ELIZY MICHALIK",2026-05-16T07:00:33Z,572532,25299,1914,PT47M13S,22
MGcIL8PVdqw,KanalZero,TRUMP W CHINACH. XI CZEKA NA PUTINA | ŚWIAT OD ZERA #108,2026-05-15T20:10:56Z,45445,1147,47,PT1H37M25S,22
02whshKdMuo,KanalZero,"MAZUREK: NALOT NA SAKIEWICZA, POLICJA, SŁUŻBY, PROWOKACJA",2026-05-15T19:35:06Z,415238,25295,4583,PT17M31S,22
aijwf3EHYlk,KanalZero,POLICJA W TELEWIZJI REPUBLIKA,2026-05-15T18:19:50Z,241929,9839,839,PT1M23S,22
uNZkHsYON88,KanalZero,"PRZEKAZ DNIA: POLICJA U SAKIEWICZA, MORAWIECKI VS CZARNEK, EUROWIZJA I PRAWICOWE TRZĘSIENIE W UK",2026-05-15T18:16:53Z,46654,1713,218,PT1H17M30S,22
JdDWKaVrGZE,KanalZero,PIORUN UDERZYŁ W TURYSTÓW NA GIEWONCIE,2026-05-15T17:42:31Z,85778,428,60,PT33S,22
VCD2xlCnjGQ,KanalZero,ROSJA PRZEJMUJE KONTROLĘ NAD UKRAIŃSKIMI DRONAMI. ATAK NA ŁOTWĘ,2026-05-15T16:30:21Z,62871,2158,324,PT13M35S,22
OZUb4IkLwAM,KanalZero,"SZEMPLIŃSKA PODBIŁA SIEĆ. IZRAEL, EUROWIZJA I WYMOWNA REAKCJA",2026-05-15T15:33:58Z,315631,10154,1929,PT16M23S,22
qtGiDzo72s4,KanalZero,SMUTNY KONIEC IMPREZY W WILANOWIE,2026-05-15T14:28:08Z,133960,1702,112,PT43S,22
ooSM0WL3Khs,KanalZero,FESTIWAL W CANNES OD ŚRODKA!,2026-05-15T13:55:15Z,8920,69,2,PT1M2S,22
CAK2dZ9vpCg,KanalZero,"ZERO DYSKUSJI #7 - PRUSINOWSKI, MAZUREK, SROCZYŃSKI, BURZYŃSKA",2026-05-15T13:55:00Z,95333,3423,245,PT1H30M40S,25
4DoenxmhNok,KanalZero,MINISTER POD PRESJĄ. DYREKTOR ODWOŁANY. AFERA PARTY WILANÓW,2026-05-15T13:35:00Z,106349,4688,585,PT10M53S,22
bFXxK76KM40,KanalZero,OPOWIEŚCI TEDE!,2026-05-15T12:30:45Z,94148,160,4,PT22S,22
UOVkcZvhBEg,KanalZero,"NAUKA, PRAWNICY I LOBBYŚCI W SŁUŻBIE KORPORACJI | NAUKOWE ZERO",2026-05-15T11:13:13Z,19776,986,103,PT15M30S,22
boUgo8uoViM,KanalZero,UWAŻAJACIE NA TAKICH OSZUSTÓW!,2026-05-15T10:15:05Z,365808,3022,74,PT1M32S,22
k_3kaC6JRuQ,KanalZero,JAK OSIĄGNIĄĆ SUKCES W MUZYCE?,2026-05-15T10:01:18Z,27498,59,1,PT40S,22
Gbi38zsQJZA,KanalZero,ILE ZARABIA RZECZNIK LEWICY?,2026-05-15T09:30:08Z,646897,6519,625,PT49S,22
