video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
9fLAL8wcNWI,Imponderabilia,"Magda Mołek szczerze o odejściu z TVN. W swoim stylu opowiada o wieku, karierze i seksie.",2020-07-28T16:59:32Z,812023,13086,1083,PT1H45M37S,6337,22
Cm_q4FNm2aY,Imponderabilia,Jak osiągnąć dobre życie?,2020-07-24T14:39:24Z,73512,1586,133,PT1H38M27S,5907,27
mZ3uMQoeqnw,Imponderabilia,Kto i dlaczego zabija ludzi w Afryce? Albinizm i czary w Tanzanii.,2020-07-19T16:26:23Z,80915,2368,83,PT1H9M42S,4182,27
Izxj72bg4A4,Imponderabilia,"Andrzej Duda o: LGBT, TVP, koronawirusie, głosach po Bosaku i o szansach w starciu z Trzaskowskim",2020-07-09T15:12:23Z,1435044,41981,9413,PT1H16M49S,4609,25
k_nPpFbzy1g,Imponderabilia,Polska ma świetnych inżynierów. Sławek Potasz - jak rozkręcić biznes przed trzydziestką.,2020-07-07T13:48:31Z,63426,1998,176,PT48M21S,2901,22
LEUGpoCXugw,Imponderabilia,"Sokół. Jakie błędy popełnił, kim chciał zostać za młodu i jak patrzy na swoją przeszłość.",2020-07-04T13:56:22Z,340436,6477,400,PT1H3M52S,3832,22
Dd6qpa37lc4,Imponderabilia,Kto wygra wybory prezydenckie? Podsumowanie po wywiadach z kandydatami. Czy Andrzej Duda przyjdzie?,2020-06-25T16:10:40Z,367768,17263,1882,PT49M53S,2993,25
WkL3qxpQG4s,Imponderabilia,"Artur Rojek o Myslovitz, płycie Kundel i przyszłości OFF Festivalu",2020-06-10T14:54:34Z,41498,1148,77,PT1H50S,3650,10
0RC3hx6dSF0,Imponderabilia,"Rafał Trzaskowski szczerze o Andrzeju Dudzie i kontrkandydatach, oraz swojej szansie w wyborach.",2020-06-04T06:00:12Z,698640,19108,2561,PT1H24S,3624,25
SqIbCJU2l2c,Imponderabilia,"Rasmentalism: Jezus jest naszym wzorem, bo założył pierwszą komunę.",2020-05-31T13:32:19Z,26508,751,56,PT1H9M2S,4142,22
WzwfDysNSak,Imponderabilia,"Hołdys o: Kaziku w Trójce, cenzurze w PRL i czemu nigdy nie nazwał Andrzeja Dudy prezydentem.",2020-05-20T15:59:18Z,129039,3373,512,PT1H59M47S,7187,22
HsP7eK0yWeo,Imponderabilia,"Vito Bambino mówi, że #hot16challenge2 to nie szopka, Bitamina będzie grać, a bunkrów nadal nie ma.",2020-05-14T13:47:15Z,96440,3012,148,PT1H7M42S,4062,22
kJpDcDkIZ6E,Imponderabilia,Karol Paciorek #Hot16challenge2,2020-05-12T18:22:00Z,249883,18349,644,PT2M26S,146,10
twL9B9qUpqw,Imponderabilia,"Robert Biedroń: wybory korespondencyjne, co z mandatem do PE, prawo aborcyjne | Imponderabilia #103",2020-04-30T14:29:06Z,216520,6997,1290,PT1H5M30S,3930,22
5SovWhoIr8A,Imponderabilia,"Władysław Kosiniak-Kamysz odpowiada na pytania: koronawirus, wybory, susza | Imponderabilia #102",2020-04-27T15:02:26Z,180891,5461,657,PT1H11M24S,4284,22
rPEIwCrlVcg,Imponderabilia,Koronawirus kontra nasza psychika. Cveta Dimitrova i Tomasz Stawiszyński | Imponderabilia #101,2020-04-16T18:24:54Z,35487,701,72,PT2H8M50S,7730,22
0Qh0rdE-tbI,Imponderabilia,"Co Łona, czyli raper inteligencki myśli o Patointeligencji? Śpiewnik Domowy EP | Imponderabilia #100",2020-04-09T14:34:00Z,309681,10268,727,PT56M41S,3401,22
QQovOC5uTak,Imponderabilia,Ile będzie trwał kryzys gospodarczy? Czy może ominąć Polskę? Dr Wojciech Paczos | Imponderabilia #99,2020-04-04T16:03:37Z,123853,3309,432,PT1H31M54S,5514,22
_40j-HdyOYU,Imponderabilia,"Na co przeznaczy milion dolarów, gdy zostanie nauczycielem roku? Przemek Staroń | Imponderabilia #98",2020-03-31T18:27:54Z,46789,1344,222,PT2H40M37S,9637,22
