video_id,channel_name,title,published_at,view_count,like_count,comment_count,duration,duration_seconds,category_id
2niThmdF9ds,Patec,ODPADŁEM z NAJWIĘKSZEJ ŚCIANY WSPINACZKOWEJ w POLSCE,2023-08-26T13:10:28Z,453694,21676,563,PT21M26S,1286,24
rnUjIdwdiKc,Patec,WIELKI FINAŁ - Ironman,2023-08-17T14:40:04Z,2977870,145024,3564,PT56M22S,3382,24
A8IH-XeFOQk,Patec,Trenuję jak ZAWODOWIEC przez 7 DNI,2023-08-05T13:03:44Z,487643,28608,450,PT31M36S,1896,24
JikXRKDGkIc,Patec,Wracam na miesiąc do SZKOŁY,2023-07-29T16:04:45Z,399499,25006,283,PT21M43S,1303,24
sGn16TkJ1AE,Patec,NAJTRUDNIEJSZY OKRES TRENINGÓW,2023-07-22T13:15:18Z,788243,38518,413,PT30M32S,1832,24
YaSowLsTbAo,Patec,INHALACJA KUPĄ SŁONIA,2023-07-16T13:03:01Z,603882,23716,216,PT29M13S,1753,24
fDxaGuQQhkY,Patec,SPALIŚMY OBOK KROKODYLA,2023-07-13T13:00:36Z,531163,31045,337,PT16M54S,1014,24
ZEdZt3yEQBs,Patec,BONUS - 80DDŚ (obiecany odcinek),2023-07-04T15:17:58Z,453851,22914,275,PT32M37S,1957,24
oy3B0ZPyhVE,Patec,100 dni do IRONMANA,2023-06-25T13:00:38Z,871833,45919,635,PT37M29S,2249,24
FRowC9xYsXs,Patec,Dzień z zawodowcami ENDURO (lekka gleba alert xd),2023-06-10T13:09:54Z,658980,31215,1364,PT25M56S,1556,24
pYIofxMFIhE,Patec,ILE KOSZTOWAŁA PODRÓŻ 80 DNI DOOKOŁA ŚWIATA?,2023-06-06T13:00:40Z,767168,40942,737,PT42M1S,2521,24
SONxqMfU3LU,Patec,POSTAWIŁEM IM WAKACJE,2023-05-28T13:00:26Z,426841,20934,296,PT32M48S,1968,24
3vu2Rue_jZc,Patec,NOC W ROSYJSKIEJ STACJI KOSMICZNEJ [FINAŁ 80ddś],2023-05-21T13:02:12Z,4316853,222863,5335,PT1H49M44S,6584,24
hTav1ZeY754,Patec,PRZEDOSTATNI ODCINEK - 80 DDŚ #39,2023-05-06T13:00:35Z,378276,21574,418,PT19M38S,1178,24
zcxv6dJ9wX4,Patec,BYŁO NIEBEZPIECZNIE - 80 DDŚ #38,2023-05-04T13:05:01Z,523930,20784,402,PT25M20S,1520,24
wnv9zvkoCgc,Patec,WÓDKA Z BANANÓW to ZŁY POMYSŁ - 80 DDŚ #37,2023-05-02T13:00:47Z,447531,18924,221,PT24M39S,1479,24
rmRBGqT155Q,Patec,SPEŁNIŁEM SWOJE MARZENIE! - 80 DDŚ #36,2023-04-30T13:00:36Z,463045,18852,269,PT27M31S,1651,24
YSVYvhgVquA,Patec,NAJWIĘKSZA RYBA JAKĄ ZŁOWIŁEM - 80DDŚ #35,2023-04-28T13:00:57Z,403891,19743,206,PT19M8S,1148,24
CUeo0UAmyis,Patec,ZALAŁO NAS... - 80DDŚ #34,2023-04-26T13:00:09Z,631805,25129,376,PT31M40S,1900,24
1sX4OKckhGw,Patec,SPOTKAŁEM PRZYJACIELA W AFRYCE - 80 DDŚ #33,2023-04-24T13:00:01Z,408907,23221,434,PT15M23S,923,24
iOKPKr094OY,Patec,RYTUAŁ KAMBO - 80 DDŚ #32,2023-04-22T14:46:03Z,567156,29004,728,PT25M44S,1544,24
ZQ4tVzkQLGo,Patec,ZOSTAŁEM BEZDOMNY W DUBAJU... - 80 DDŚ #31,2023-04-20T13:00:26Z,464620,24209,291,PT16M52S,1012,24
